"ISO3","year","loss","loss_rate","lead_LR","lead_3","lead_2","lead_1","rta","lag_1","lag_2","lag_3","lag_LR","enviro_lead_LR","enviro_lead_3","enviro_lead_2","enviro_lead_1","enviro_rta","enviro_lag_1","enviro_lag_2","enviro_lag_3","enviro_lag_LR"
"AFG",2001,92,0.000212906286520949,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2002,190,0.000439697765641091,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2003,253,0.000585492287932611,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2004,207,0.000479039144672136,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2005,246,0.000569292896566886,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AFG",2006,159,0.000367957603878597,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AFG",2007,259,0.000599377480531803,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AFG",2008,112,0.00025919026185159,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AFG",2009,74,0.000171250708723372,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AFG",2010,94,0.000217534684054013,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AFG",2011,116,0.000268447056917719,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"AFG",2012,41,9.48821494278144e-05,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"AFG",2013,2,4.62839753306412e-06,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"AFG",2014,4,9.25679506612823e-06,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"AFG",2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AFG",2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AFG",2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AFG",2018,28,6.47975654628976e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AFG",2019,19,4.39697765641091e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AGO",2001,119564,0.00124643413545713,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",2002,72802,0.000758948328339215,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AGO",2003,68662,0.00071578954040311,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AGO",2004,97998,0.00102161229472523,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AGO",2005,133592,0.0013926736226957,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AGO",2006,107427,0.00111990799797391,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AGO",2007,217437,0.00226674332668188,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AGO",2008,157662,0.00164359923274934,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AGO",2009,271114,0.00282631681944669,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AGO",2010,197659,0.00206056107842094,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AGO",2011,287249,0.00299452141928946,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AGO",2012,252333,0.00263052812470563,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
